"name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","listed_in.type.","listed_in.city."
"Sip n Dine","Yes","No",3.6,218,"Vijay Nagar","Casual Dining","Veg Jaipuri","North Indian, Chinese, South Indian","800","Delivery","Banashankari"
"Cafe Mondo","Yes","No",3.7,514,"Basavanagudi","Cafe","Pizza","Cafe, Italian, Beverages","600","Delivery","Banashankari"
"Jalpaan","Yes","Yes",4,866,"Jayanagar","Casual Dining","Mocktails","North Indian, Continental","900","Delivery","Banashankari"
"Kataria's Pakwan","Yes","No",3.2,96,"Kumaraswamy Layout","Quick Bites","Paratha","North Indian","400","Delivery","Banashankari"
"Juicy Momos","Yes","No",3.5,80,"Banashankari","Quick Bites","Rolls","Tibetan, Momos","250","Delivery","Banashankari"
"Amande Patisserie","Yes","No",4,73,"Basavanagudi","Bakery","Macaroon","Bakery, French, Desserts","300","Delivery","Banashankari"
"Anand Sweets and Savouries","Yes","No",3.9,84,"Jayanagar","Sweet Shop","Dahi Papadi Chaat","Mithai, Street Food","400","Delivery","Banashankari"
"Chicken Hunt","Yes","No",3.5,88,"Banashankari","Quick Bites","Chicken Grill","South Indian, North Indian, Chinese, Biryani","350","Delivery","Banashankari"
"Swadesh Tadka","Yes","No",3.5,179,"Banashankari","Casual Dining","Gulab Jamun","North Indian, Chinese, Beverages","600","Delivery","Banashankari"
"Cane-O-La","Yes","No",3.8,61,"Basavanagudi","Quick Bites","Sugarcane Juice","Juices","100","Delivery","Banashankari"
"New Biryani Mane","Yes","No",3.7,128,"Uttarahalli","Casual Dining","Egg Biryani","North Indian, Chinese, Biryani, South Indian","450","Delivery","Banashankari"
"Upahara Darshini","Yes","No",3.8,339,"Jayanagar","Quick Bites","Rava Dosa","South Indian, North Indian, Chinese","400","Delivery","Banashankari"
"Karnataka Bhel House","Yes","No",4.1,449,"Basavanagudi","Quick Bites","Masala Poori","Street Food","100","Delivery","Banashankari"
"Sreeraj Lassi Bar","Yes","No",4.1,210,"Jayanagar","Dessert Parlor, Beverage Shop","Faluda","Beverages","150","Delivery","Banashankari"
"Bunt's Biriyani Palace","Yes","No",3,213,"Banashankari","Quick Bites","Neer Dosa","North Indian, South Indian, Chinese, Biryani, Seafood","400","Delivery","Banashankari"
"Chai Point","Yes","No",3.2,208,"Jayanagar","Beverage Shop, Quick Bites","Ginger Chai","Tea, Beverages, Fast Food","250","Delivery","Banashankari"
"Janahaar","Yes","No",3.8,70,"Banashankari","Quick Bites","Masala Dosa","South Indian","100","Delivery","Banashankari"
"Redberrys","Yes","No",4,219,"Basavanagudi","Cafe","Pizza","Cafe, Italian","600","Delivery","Banashankari"
"Utsav","Yes","No",3.7,59,"Banashankari","Quick Bites","Paratha","North Indian, Street Food","200","Delivery","Banashankari"
"The Spice Saga","Yes","No",3.7,124,"Kumaraswamy Layout","Casual Dining","Biryani","Biryani, North Indian, Chinese, Seafood","750","Delivery","Banashankari"
"Jalsa","Yes","Yes",4.1,775,"Banashankari","Casual Dining","Pasta","North Indian, Mughlai, Chinese","800","Delivery","Banashankari"
"Subz","Yes","Yes",4.2,2022,"Jayanagar","Casual Dining","Veg Buffet","North Indian, South Indian","1,000","Delivery","Banashankari"
"Cafe Shuffle","Yes","Yes",4.2,150,"Banashankari","Cafe","Mocktails","Cafe, Italian, Continental","600","Delivery","Banashankari"
"Mint and Mustard","Yes","No",4,232,"Basavanagudi","Casual Dining","Paneer Tikka","North Indian, Chinese","750","Delivery","Banashankari"
"Punjabi Raswada","Yes","Yes",3.5,431,"Jayanagar","Casual Dining","Gajar Ka Halwa","North Indian","800","Delivery","Banashankari"
"Vinny's","Yes","Yes",4.2,2115,"Banashankari","Casual Dining","Pizza","Pizza, Italian, Continental, Desserts","800","Delivery","Banashankari"
"Kapoor's Cafe","Yes","No",4.2,150,"Jayanagar","Casual Dining","Lassi","North Indian","800","Delivery","Banashankari"
"Sukh Sagar","Yes","No",3.8,155,"Jayanagar","Casual Dining","Pav Bhaji","South Indian, North Indian, Chinese, Street Food","450","Delivery","Banashankari"
"Andhra Ruchulu","Yes","Yes",4.1,666,"Jayanagar","Casual Dining, Bar","Andhra Meal","Andhra, Biryani, North Indian, Chinese","1,000","Delivery","Banashankari"
"Steaming Mugs","Yes","No",3.9,240,"Basavanagudi","Cafe","Fries","Cafe","700","Delivery","Banashankari"
"San Churro Cafe","Yes","No",3.8,918,"Banashankari","Cafe, Casual Dining","Churros","Cafe, Mexican, Italian","800","Delivery","Banashankari"
"Rajathadri Food Fort","Yes","No",4,465,"Jayanagar","Casual Dining","Butter Naan","South Indian, North Indian, Chinese, Street Food","600","Delivery","Banashankari"
"Brew Meister","Yes","Yes",4.1,970,"Jayanagar","Microbrewery, Casual Dining","Cocktails","North Indian, Continental, Finger Food, American, Asian","1,500","Delivery","Banashankari"
"Rasoi","Yes","No",3.3,128,"Banashankari","Quick Bites","Lassi","North Indian, Chinese","300","Delivery","Banashankari"
"Mr. Singh Da Dhaba","Yes","No",3.6,241,"Kumaraswamy Layout","Quick Bites","Mughlai Paratha","North Indian, Chinese","300","Delivery","Banashankari"
"Ayodhya Upachar","Yes","No",4.3,734,"Banashankari","Quick Bites","Panneer Butter Masala","South Indian, North Indian, Chinese, Street Food","200","Delivery","Banashankari"
"Biriyani Mane","Yes","No",3.8,130,"Jayanagar","Quick Bites","Biryani","North Indian, Biryani","400","Delivery","Banashankari"
"Cafe Ajfan","Yes","No",4.2,261,"Jayanagar","Cafe","Sandwiches","Cafe, Continental, Beverages","700","Delivery","Banashankari"
"Brundhavana Food Point","Yes","No",4,191,"Kumaraswamy Layout","Quick Bites","Biryani","South Indian, North Indian, Chinese, Street Food, Beverages","300","Delivery","Banashankari"
"SLV Corner Restaurant","Yes","No",4.1,364,"Basavanagudi","Casual Dining","Masala Dosa","South Indian, Chinese, North Indian, Street Food, Rolls, Juices","550","Delivery","Banashankari"
"The Krishna Grand","Yes","No",3.9,888,"Banashankari","Casual Dining","Spring Dosa","North Indian, South Indian, Chinese, Fast Food, Juices","750","Delivery","Banashankari"
"Roti Ghar","Yes","No",3.9,750,"Basavanagudi","Casual Dining","Coffee","North Indian, Chinese, South Indian","500","Delivery","Banashankari"
"The Coffee Shack","Yes","Yes",4.2,164,"Banashankari","Cafe","Coffee","Cafe, Chinese, Continental, Italian","500","Delivery","Banashankari"
"Baisakhi","Yes","No",3.8,527,"Basavanagudi","Casual Dining","Masala Chaach","North Indian","500","Delivery","Banashankari"
"Corner House Ice Cream","No","No",4.3,345,"Banashankari","Dessert Parlor","Hot Chocolate Fudge","Ice Cream, Desserts","400","Desserts","Banashankari"
"Poonam Sweets","No","No",4.4,356,"Banashankari","Sweet Shop","Dhokla","Mithai","150","Desserts","Banashankari"
"Old Mumbai Ice Cream","Yes","No",3.9,38,"Banashankari","Dessert Parlor","Friendly Staff","Ice Cream","150","Desserts","Banashankari"
"Polar Bear","Yes","No",3.9,116,"Banashankari","Dessert Parlor","Sandwiches","Ice Cream, Desserts, Beverages, Sandwich","400","Desserts","Banashankari"
"San Churro Cafe","Yes","No",3.8,918,"Banashankari","Cafe, Casual Dining","Churros","Cafe, Mexican, Italian","800","Desserts","Banashankari"
"Kirthi's Biryani","Yes","No",3.8,144,"Banashankari","Cafe","Pasta","Chinese, Cafe, Italian","700","Desserts","Banashankari"
"Stoned Monkey","Yes","No",4.3,860,"Banashankari","Dessert Parlor","Nachos","Desserts, Ice Cream","500","Desserts","Banashankari"
"Floured-Baked With Love","No","No",3.8,45,"Banashankari","Takeaway, Delivery","Cup Cake","Bakery","400","Desserts","Banashankari"
"Waffle-A-Go Go","Yes","No",3.9,70,"Banashankari","Dessert Parlor","Waffles","Fast Food, Desserts, Ice Cream","400","Desserts","Banashankari"
"Sri Venkateshwara Sweet Meat Stall","No","No",4,98,"Basavanagudi","Sweet Shop, Quick Bites","Mysore Pak","Mithai, Street Food, North Indian, Chinese","400","Desserts","Banashankari"
"Redberrys","Yes","No",4,219,"Basavanagudi","Cafe","Pizza","Cafe, Italian","600","Desserts","Banashankari"
"Amande Patisserie","Yes","No",4,73,"Basavanagudi","Bakery","Macaroon","Bakery, French, Desserts","300","Desserts","Banashankari"
"A2B Veg - Adyar Ananda Bhavan","Yes","No",2.7,97,"Basavanagudi","Casual Dining","Masala Dosa","South Indian, North Indian, Chinese, Street Food","400","Desserts","Banashankari"
"The Krishna Grand","Yes","No",3.9,888,"Banashankari","Casual Dining","Spring Dosa","North Indian, South Indian, Chinese, Fast Food, Juices","750","Dine-out","Banashankari"
"Sea Spice by 7 Star","Yes","Yes",4,349,"Banashankari","Casual Dining","Sea Food","Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200","Dine-out","Banashankari"
"Mini Punjabi Dhaba","Yes","No",4.2,287,"Banashankari","Quick Bites","Panneer Butter Masala","North Indian","350","Dine-out","Banashankari"
"Onesta","Yes","Yes",4.6,2556,"Banashankari","Casual Dining, Cafe","Farmhouse Pizza","Pizza, Cafe, Italian","600","Dine-out","Banashankari"
"Wamama","Yes","Yes",4.2,354,"Banashankari","Casual Dining","Sushi","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos","800","Dine-out","Banashankari"
"Jalsa","Yes","Yes",4.1,775,"Banashankari","Casual Dining","Pasta","North Indian, Mughlai, Chinese","800","Dine-out","Banashankari"
"Vinny's","Yes","Yes",4.2,2115,"Banashankari","Casual Dining","Pizza","Pizza, Italian, Continental, Desserts","800","Dine-out","Banashankari"
"Jcubez","No","Yes",3.8,977,"Banashankari","Lounge","Beer","Finger Food","1,300","Dine-out","Banashankari"
"Gustoes Beer House","No","No",4.1,868,"Banashankari","Pub","Beer","Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200","Dine-out","Banashankari"
"Penthouse Cafe","Yes","No",4,324,"Banashankari","Cafe","Pizza","Cafe, Italian, Continental","700","Dine-out","Banashankari"
"Spice Elephant","Yes","No",4.1,787,"Banashankari","Casual Dining","Momos","Chinese, North Indian, Thai","800","Dine-out","Banashankari"
"Smacznego","Yes","No",4.2,504,"Banashankari","Cafe","Waffles","Cafe, Mexican, Italian, Momos, Beverages","550","Dine-out","Banashankari"
"CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley","Yes","No",4.1,402,"Banashankari","Cafe","Waffles","Cafe","500","Dine-out","Banashankari"
"Cafe Shuffle","Yes","Yes",4.2,150,"Banashankari","Cafe","Mocktails","Cafe, Italian, Continental","600","Dine-out","Banashankari"
"The Coffee Shack","Yes","Yes",4.2,164,"Banashankari","Cafe","Coffee","Cafe, Chinese, Continental, Italian","500","Dine-out","Banashankari"
"Peppy Peppers","No","No",4.2,244,"Banashankari","Casual Dining","Pasta","Italian, North Indian, Mexican","800","Dine-out","Banashankari"
"Anna Kuteera","Yes","No",4,771,"Banashankari","Casual Dining","Panner Tikka","South Indian, North Indian, Chinese","450","Dine-out","Banashankari"
"Szechuan Dragon","Yes","No",4.2,1647,"Banashankari","Casual Dining","Noodles","Chinese, Thai, Momos","600","Dine-out","Banashankari"
"1947","No","Yes",4,808,"Banashankari","Casual Dining","Salads","North Indian, Chinese","850","Dine-out","Banashankari"
"Caf-Eleven","No","No",4,424,"Banashankari","Cafe","Sandwich","Cafe, Continental","450","Dine-out","Banashankari"
"Thamboola","Yes","No",3.9,135,"Banashankari","Casual Dining","Spring Roll","North Indian, Chinese, Continental","800","Dine-out","Banashankari"
"San Churro Cafe","Yes","No",3.8,918,"Banashankari","Cafe, Casual Dining","Churros","Cafe, Mexican, Italian","800","Dine-out","Banashankari"
"Cafe Vivacity","Yes","No",3.8,90,"Banashankari","Cafe","Garlic Bread","Cafe","650","Dine-out","Banashankari"
"Chung Wah","Yes","No",3.9,519,"Banashankari","Casual Dining","Tom Yum Soup","Chinese, Momos, Thai, Vietnamese","900","Dine-out","Banashankari"
"Vietnamese Kitchen","Yes","No",3.6,105,"Banashankari","Casual Dining","Pho","Vietnamese","700","Dine-out","Banashankari"
"Catch-up-ino","Yes","No",3.9,133,"Banashankari","Cafe","Momos","Cafe, Fast Food, Continental, Chinese, Momos","800","Dine-out","Banashankari"
"Kirthi's Biryani","Yes","No",3.8,144,"Banashankari","Cafe","Pasta","Chinese, Cafe, Italian","700","Dine-out","Banashankari"
"T3H Cafe","No","No",3.9,93,"Banashankari","Cafe","Cheese Maggi","Cafe, Italian, American","300","Dine-out","Banashankari"
"Srikrishna Bhavan","Yes","No",3.8,42,"Banashankari","Quick Bites","Roti","South Indian, North Indian, Chinese","300","Dine-out","Banashankari"
"Dal Tadkaa","Yes","No",2.5,247,"Banashankari","Casual Dining","Paratha","North Indian","500","Dine-out","Banashankari"
"The Vintage Cafe","Yes","No",3,62,"Banashankari","Cafe","Burgers","Cafe, French, North Indian","400","Dine-out","Banashankari"
"Green Gardenia","Yes","No",3.8,160,"Banashankari","Casual Dining","Masala Papad","North Indian, Chinese","700","Dine-out","Banashankari"
"Kadala Tarangaa","Yes","No",3.6,129,"Banashankari","Casual Dining","Sea Food","Mangalorean, Seafood, North Indian","600","Dine-out","Banashankari"
"Vi Ra's Bar and Restaurant","No","No",3.3,62,"Banashankari","Bar","Chilli Chicken","South Indian, North Indian, Chinese","800","Dine-out","Banashankari"
"Nandhini Deluxe","No","No",2.6,283,"Banashankari","Casual Dining","Biryani","North Indian","600","Dine-out","Banashankari"
"J Spice","Yes","No",3.8,59,"Banashankari","Casual Dining","Stuffed Mushroom","North Indian, Chinese","750","Dine-out","Banashankari"
"Swadesh Tadka","Yes","No",3.5,179,"Banashankari","Casual Dining","Gulab Jamun","North Indian, Chinese, Beverages","600","Dine-out","Banashankari"
"Iyer's Tiffin Centre","No","No",3.8,62,"Banashankari","Quick Bites","Kesari Bath","South Indian, Chinese","150","Dine-out","Banashankari"
"Darbar","No","No",3,98,"Banashankari","Bar","Paneer Tikka","North Indian, Chinese","800","Dine-out","Banashankari"
"Beijing Bites","No","No",2.7,128,"Banashankari","Casual Dining","Cantonese Noodles","Chinese, Thai","850","Dine-out","Banashankari"
"The Pizzeria","Yes","No",2.8,45,"Banashankari","Casual Dining","Pesto Pizza","Pizza, Italian, Salad","800","Dine-out","Banashankari"
"As On Fire","Yes","No",3.5,41,"South Bangalore","Food Truck","Pizza","Pizza, Fast Food, BBQ","400","Dine-out","Banashankari"
"Pizza Hut","Yes","No",3.7,405,"Banashankari","Casual Dining","Pizza","Pizza, Fast Food","750","Dine-out","Banashankari"
"New Prashanth Hotel","Yes","No",3.9,388,"Banashankari","Casual Dining","Chicken Biryani","Biryani, North Indian, Seafood, Andhra","650","Dine-out","Banashankari"
"Taaza Thindi","No","No",4.7,651,"Banashankari","Quick Bites","Masala Dosa","South Indian","100","Dine-out","Banashankari"
"Ayodhya Upachar","Yes","No",4.3,734,"Banashankari","Quick Bites","Panneer Butter Masala","South Indian, North Indian, Chinese, Street Food","200","Dine-out","Banashankari"
"Roving Feast","No","No",4,1047,"Banashankari","Quick Bites","Pasta","Italian, Continental, Fast Food, Chinese, Momos","450","Dine-out","Banashankari"
"KFC","Yes","No",3.8,505,"Banashankari","Quick Bites","Burgers","Burger, Fast Food","450","Dine-out","Banashankari"
"Gama Gama","Yes","No",3.9,264,"Banashankari","Quick Bites","Jowar Roti","South Indian","200","Dine-out","Banashankari"
"McDonald's","Yes","No",3.9,286,"Banashankari","Quick Bites","Burgers","Burger, Fast Food","500","Dine-out","Banashankari"
"Sri Laxmi Venkateshwara Coffee Bar","No","No",4.4,343,"Banashankari","Quick Bites","Masala Dosa","South Indian","100","Dine-out","Banashankari"
"Messy Bowl","No","No",3.8,70,"Banashankari","Quick Bites","Tandoori Maggi","Fast Food, Beverages","500","Dine-out","Banashankari"
"Janahaar","Yes","No",3.8,70,"Banashankari","Quick Bites","Masala Dosa","South Indian","100","Dine-out","Banashankari"
"Chumma Delicious","Yes","No",3.7,237,"Banashankari","Quick Bites","Chicken Biryani","South Indian, Fast Food","200","Dine-out","Banashankari"
"Bengaluru Coffee House","Yes","No",4.1,201,"Banashankari","Quick Bites","Masala Dosa","South Indian, North Indian, Chinese, Street Food","300","Dine-out","Banashankari"
"Foodiction","Yes","No",2.8,506,"Banashankari","Quick Bites","Burgers","North Indian, Fast Food, Chinese, Burger","500","Dine-out","Banashankari"
"The Biryani Cafe","No","No",4.1,520,"Banashankari","Quick Bites","Vegetable Biryani","Biryani, Chinese, Kebab","300","Dine-out","Banashankari"
"Addhuri Udupi Bhojana","No","No",3.7,88,"Banashankari","Quick Bites","Masala Dosa","South Indian, North Indian","300","Dine-out","Banashankari"
"Subway","Yes","No",3.7,136,"Banashankari","Quick Bites","Veggie Delight","Salad, Fast Food","600","Dine-out","Banashankari"
"Hotel Mangala","No","No",3.9,88,"Banashankari","Quick Bites","Khali Dosa","South Indian","250","Dine-out","Banashankari"
"SLV Swadishta","No","No",3.8,189,"Banashankari","Quick Bites","Coffee","South Indian","300","Dine-out","Banashankari"
"Upahar Sagar","No","No",3.8,39,"Banashankari","Quick Bites","Masala Dosa","South Indian, Chinese, North Indian","350","Dine-out","Banashankari"
"Domino's Pizza","Yes","No",3.9,540,"Banashankari","Quick Bites","Pane Pizza","Pizza, Fast Food","800","Dine-out","Banashankari"
"New Sagar Fast Food","No","No",3.6,71,"Banashankari","Quick Bites","Vegetable Biryani","North Indian, South Indian","250","Dine-out","Banashankari"
"Chicken Hunt","Yes","No",3.5,88,"Banashankari","Quick Bites","Chicken Grill","South Indian, North Indian, Chinese, Biryani","350","Dine-out","Banashankari"
"Pizza Stop","Yes","No",3,87,"Banashankari","Quick Bites","Garlic Bread","Pizza, Italian","600","Dine-out","Banashankari"
"Faasos","Yes","No",4.2,415,"Banashankari","Quick Bites","Rolls","North Indian, Biryani, Fast Food","500","Dine-out","Banashankari"
"Rasoi","Yes","No",3.3,128,"Banashankari","Quick Bites","Lassi","North Indian, Chinese","300","Dine-out","Banashankari"
"SLV Refreshment","No","No",4.1,94,"Banashankari","Quick Bites","Coffee","South Indian","100","Dine-out","Banashankari"
"Chatar Patar","No","No",3.7,65,"Banashankari","Quick Bites","Panipuri","Fast Food, Street Food","300","Dine-out","Banashankari"
"Kidambi's Kitchen","No","No",3.5,52,"Banashankari","Quick Bites","Rooftop Ambience","South Indian","300","Dine-out","Banashankari"
"Tandoori Knight","Yes","No",3,290,"Banashankari","Quick Bites","Chicken Grill","North Indian, Chinese, Biryani, Kebab","450","Dine-out","Banashankari"
"Utsav","Yes","No",3.7,59,"Banashankari","Quick Bites","Paratha","North Indian, Street Food","200","Dine-out","Banashankari"
"Mane Thindi","No","No",3.7,130,"Banashankari","Quick Bites","Coffee","South Indian","200","Dine-out","Banashankari"
"Juicy Momos","Yes","No",3.5,80,"Banashankari","Quick Bites","Rolls","Tibetan, Momos","250","Dine-out","Banashankari"
"Donne Biriyani House","Yes","No",3.9,441,"Banashankari","Quick Bites","Biryani","South Indian, North Indian, Chinese, Biryani","400","Dine-out","Banashankari"
